t,Antenna_id,Event_code,Device_id,x,y
0,23,0,0,9043.66,9847.57
1,23,2,0,8942.63,9952.78
2,23,2,0,8942.63,9952.78
3,23,2,0,9010.81,9823.83
4,23,2,0,9125.92,9913.4
5,23,2,0,9222.54,9804.13
6,23,2,0,9296.94,9678.68
7,23,2,0,9372.47,9553.9
8,23,2,0,9376.63,9408.11
9,23,2,0,9491.59,9497.88
10,23,2,0,9623.56,9435.77
11,23,2,0,9657.94,9294.03
12,23,2,0,9800.02,9261.06
13,23,2,0,9853.13,9125.22
14,23,2,0,9955.76,9021.59
15,23,2,0,9972.68,9166.46
16,23,2,0,9972.68,9166.46
17,23,2,0,9859.64,9258.63
18,23,2,0,9749.44,9354.18
19,23,2,0,9639,9449.45
20,23,2,0,9548.31,9563.68
21,23,2,0,9444.76,9666.4
22,23,2,0,9349.37,9776.74
23,23,2,0,9234.6,9866.75
24,23,2,0,9130.9,9969.31
25,23,2,0,9130.9,9969.31
26,23,2,0,9271.96,9932.2
27,23,2,0,9377.65,9831.69
28,23,2,0,9521.1,9805.31
29,23,2,0,9625.62,9907.03
30,23,2,0,9676.5,9770.34
31,23,2,0,9801.88,9695.81
32,23,2,0,9803.3,9549.96
33,23,2,0,9948.83,9540.25
34,23,2,0,9968.77,9395.76
35,23,2,0,9965.98,9249.93
36,23,2,0,9896.48,9378.16
37,23,2,0,9863.75,9236.03
38,23,2,0,9863.75,9236.03
39,23,2,0,9741.73,9315.92
40,23,2,0,9634.48,9414.77
41,23,2,0,9526.58,9512.91
42,23,2,0,9417.63,9609.89
43,23,2,0,9308.36,9706.49
44,23,2,0,9199.32,9803.36
45,23,2,0,9122.81,9927.54
46,23,2,0,9122.81,9927.54
47,23,2,0,9122.81,9927.54
48,23,2,0,9122.81,9927.54
49,23,2,0,9122.81,9927.54
50,23,2,0,9122.81,9927.54
51,23,2,0,9122.81,9927.54
52,23,2,0,9122.81,9927.54
53,23,2,0,9267.31,9947.37
54,23,2,0,9400.5,9887.93
55,23,2,0,9400.5,9887.93
56,23,2,0,9304.9,9998.08
57,23,2,0,9304.9,9998.08
58,23,2,0,9285.35,9853.54
59,23,2,0,9378.17,9741.03
60,23,2,0,9516.66,9695.29
61,23,2,0,9545.24,9552.26
62,23,2,0,9636.78,9438.71
63,23,2,0,9650.84,9293.54
64,23,2,0,9607.66,9154.23
65,23,2,0,9584.36,9010.24
66,23,2,0,9530.14,8874.85
67,23,2,0,9556.73,8731.44
68,23,2,0,9702.44,8737.74
69,23,2,0,9788.55,8620.02
70,23,2,0,9821.6,8477.96
71,23,2,0,9854.94,8335.97
72,23,2,0,9854.94,8335.97
73,23,2,0,9763.69,8449.75
74,23,2,0,9653.16,8544.91
75,23,2,0,9562.03,8658.79
76,23,2,0,9434.52,8729.61
77,23,2,0,9332.36,8833.71
78,23,2,0,9232.44,8939.96
79,23,2,0,9127.01,9040.75
80,23,2,0,9029.94,9149.61
81,23,2,0,8924,9249.86
82,23,2,0,8835.08,9365.47
83,23,2,0,8738.11,9474.43
84,23,2,0,8627.16,9569.1
85,23,2,0,8514.14,9661.3
86,23,2,0,8414.66,9767.96
87,23,2,0,8311.09,9870.66
88,23,2,0,8217.13,9982.21
89,23,2,0,8217.13,9982.21
90,23,2,0,8292.29,9857.22
91,23,2,0,8421.95,9790.42
92,23,2,0,8403.77,9645.71
93,23,2,0,8363.03,9505.66
94,23,2,0,8411.53,9368.1
95,23,2,0,8471.09,9501.24
96,23,2,0,8423.06,9363.52
97,23,2,0,8564.78,9329.03
98,23,2,0,8603.94,9188.53
99,23,2,0,8689.68,9306.52
100,23,2,0,8813.12,9384.22
101,23,2,0,8912.56,9490.92
102,23,2,0,8910.57,9636.77
103,23,2,0,8935.4,9780.49
104,23,2,0,8811.98,9702.76
105,23,2,0,8954.86,9673.47
106,23,2,0,8809.38,9663.07
107,23,2,0,8954.98,9654.54
108,23,2,0,9082.88,9584.43
109,23,2,0,9176.43,9696.34
110,23,2,0,9219.39,9835.72
111,23,2,0,9337.22,9921.68
112,23,2,0,9337.22,9921.68
113,23,2,0,9248.64,9805.81
114,23,2,0,9144.87,9703.31
115,23,2,0,9043.18,9598.75
116,23,2,0,8938.88,9496.8
117,23,2,0,8853.49,9378.55
118,23,2,0,8737.96,9289.52
119,23,2,0,8641.46,9180.16
120,23,2,0,8559.16,9059.74
121,23,2,0,8460.8,8952.04
122,23,2,0,8354.22,8852.48
123,23,1,0,8269.72,8733.59
123,12,0,0,8269.72,8733.59
124,12,2,0,8158.19,8639.61
125,12,2,0,8068.05,8524.93
126,12,2,0,7952.29,8436.22
127,12,2,0,7851.35,8330.93
128,12,2,0,7746.92,8229.11
129,12,2,0,7633.9,8136.91
130,12,2,0,7518.89,8047.21
131,12,2,0,7422.43,7937.8
132,12,2,0,7336.12,7820.23
133,12,2,0,7243.35,7707.68
134,12,2,0,7140.09,7604.67
135,12,2,0,7042.68,7496.11
136,12,1,0,6946.92,7386.1
136,10,0,0,6946.92,7386.1
137,10,2,0,6857.1,7271.18
138,10,2,0,6747.7,7174.73
139,10,2,0,6644.56,7071.59
140,10,2,0,6551.43,6959.34
141,10,2,0,6456.89,6848.28
142,10,2,0,6355.87,6743.07
143,10,2,0,6243.19,6650.46
144,10,2,0,6153.03,6535.81
145,10,2,0,6037.16,6447.22
146,10,2,0,5928.9,6349.49
147,10,2,0,5837.69,6235.67
148,10,2,0,5725.32,6142.69
149,10,2,0,5627.01,6034.94
150,10,2,0,5526.3,5929.44
151,10,2,0,5422.56,5826.92
152,10,2,0,5318.48,5724.74
153,10,2,0,5233.56,5606.15
154,10,2,0,5132.98,5500.52
155,10,2,0,5025.21,5402.24
156,8,0,0,4938.62,5284.87
156,10,1,0,4938.62,5284.87
157,8,2,0,4845.2,5172.86
158,8,2,0,4736.93,5075.13
159,8,1,0,4649.36,4958.49
159,9,0,0,4649.36,4958.49
160,9,2,0,4535.35,4867.53
161,9,2,0,4460.15,4742.55
162,9,2,0,4348.44,4648.78
163,9,2,0,4257.6,4534.66
164,9,2,0,4152.57,4433.46
165,9,2,0,4058.59,4321.92
166,7,0,0,3945.77,4229.49
166,9,1,0,3945.77,4229.49
167,7,2,0,3836.5,4132.88
168,7,2,0,3725.62,4038.11
169,7,2,0,3606.34,3954.18
170,7,2,0,3498.07,3856.45
171,7,2,0,3385.52,3763.68
172,7,2,0,3296.82,3647.9
173,7,2,0,3198.1,3540.53
174,7,2,0,3110.37,3424.01
175,7,2,0,2997.1,3332.12
176,7,2,0,2906.47,3217.85
177,7,2,0,2816.86,3102.77
178,7,2,0,2723.15,2991
179,7,2,0,2613.86,2894.4
180,7,2,0,2499.34,2804.08
181,7,2,0,2401.76,2695.67
182,7,2,0,2293.5,2597.94
183,7,2,0,2185.26,2500.17
184,7,2,0,2080.63,2398.56
185,7,1,0,1978.52,2294.41
185,5,0,0,1978.52,2294.41
186,5,2,0,1857.93,2212.36
187,5,2,0,1765.49,2099.54
188,5,2,0,1675.72,1984.58
189,5,2,0,1573.45,1880.59
190,5,2,0,1493.32,1758.72
191,5,2,0,1387.34,1658.52
192,5,2,0,1283.69,1555.9
193,5,2,0,1191.95,1442.51
194,5,2,0,1085.28,1343.04
195,5,1,0,984.874,1237.25
195,14,0,0,984.874,1237.25
196,14,2,0,882.007,1133.84
197,14,2,0,778.641,1030.94
198,14,2,0,684.466,919.565
199,14,2,0,576.641,821.345
