t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
0,19,0,103,4G,9,5686.916889,9730.613370,391
1,19,2,103,4G,9,5686.916889,9730.613370,391
2,19,2,103,4G,4,4757.914042,9732.508896,389
3,19,2,103,4G,4,4757.914042,9732.508896,389
4,19,0,202,4G,15,4107.231369,9154.685693,368
4,19,2,103,4G,4,4757.914042,9732.508896,389
5,19,2,202,4G,15,4107.231369,9154.685693,368
5,19,2,103,4G,9,5686.892887,9725.567109,391
6,19,2,202,4G,1,5122.709604,9946.736581,390
6,19,2,103,4G,16,5486.058909,8818.530397,350
7,19,2,202,4G,15,4233.957116,9014.717445,368
7,19,0,152,4G,12,5329.701815,9055.873084,370
7,19,1,103,4G,26,6279.166659,8334.763946,332
8,19,2,202,4G,15,4233.957116,9014.717445,368
8,19,2,152,4G,12,5329.701815,9055.873084,370
9,19,1,202,4G,29,4524.512422,7760.078745,309
9,19,2,152,4G,12,5329.701815,9055.873084,370
10,19,2,152,4G,9,4452.648935,9490.501841,368
11,19,1,152,4G,21,3977.046446,8634.974996,347
13,19,0,202,4G,15,5378.152888,8848.411121,350
14,19,1,202,4G,31,6300.927009,7950.063429,312
19,19,0,103,4G,14,5703.802846,9159.727292,371
19,19,0,47,4G,15,4295.734900,9032.161036,368
20,19,2,103,4G,17,4916.728645,8666.205169,349
20,19,1,47,4G,24,3265.451610,9195.021086,366
21,19,0,202,4G,14,5784.541458,9223.386429,371
21,19,1,103,4G,28,4960.920348,7738.252058,309
22,19,2,202,4G,13,4505.374121,9074.149775,369
22,19,0,147,4G,15,4021.546268,9291.751486,368
22,19,0,103,4G,17,5199.992807,8635.968184,350
23,19,2,202,4G,13,4505.374121,9074.149775,369
23,19,2,147,4G,15,4021.546268,9291.751486,368
23,19,1,103,4G,22,6128.766600,8656.683528,352
23,19,0,47,4G,14,4301.521110,9074.327071,368
24,19,2,202,4G,10,5701.795985,9550.716011,391
24,19,1,147,4G,23,4122.974582,8364.378913,328
24,19,2,47,4G,16,5298.692169,8768.292869,350
25,19,2,202,4G,10,5701.795985,9550.716011,391
25,19,2,47,4G,17,4261.362532,8877.628488,348
26,19,1,202,4G,24,5836.908053,8269.979745,331
26,19,2,47,4G,6,5111.738737,9481.671006,370
27,19,2,47,4G,12,4085.159191,9666.445164,388
28,19,0,202,4G,7,4798.023254,9447.472969,369
28,19,2,47,4G,15,4693.763347,8819.327677,349
29,19,2,202,4G,7,4798.023254,9447.472969,369
29,19,1,47,4G,28,4453.229219,7804.364433,308
30,19,2,202,4G,7,4798.023254,9447.472969,369
31,19,2,202,4G,7,4798.023254,9447.472969,369
32,19,1,202,4G,20,3517.432087,9310.992510,367
32,19,0,162,4G,12,4969.038375,9031.010734,369
33,19,1,162,4G,22,3934.001402,8641.370609,347
35,19,0,103,4G,15,5877.517566,9186.808234,371
36,19,0,162,4G,17,4048.262940,8987.183341,348
36,19,2,103,4G,6,4991.612802,9466.491327,369
37,19,1,162,4G,28,2961.201851,9190.700293,365
37,19,2,103,4G,6,4991.612802,9466.491327,369
38,19,0,162,4G,13,4010.668904,9539.612696,388
38,19,2,103,4G,6,4991.612802,9466.491327,369
39,19,2,162,4G,6,5116.601658,9533.807023,390
39,19,2,103,4G,17,4285.760905,8862.485546,348
40,19,2,162,4G,11,4075.177406,9906.038790,388
40,19,2,103,4G,6,4580.879148,9743.368686,389
41,19,2,162,4G,11,4075.177406,9906.038790,388
41,19,2,103,4G,15,4710.754144,8823.486971,349
