t,Antenna ID,Event Code,Device ID,x,y, Tile ID
0,3,0,28,1706.306858,4533.673063,183
0,2,0,67,182.916560,8017.336519,320
0,4,0,44,1769.004785,6757.952509,263
0,22,0,78,8669.829450,4505.662845,197
0,10,0,85,8309.785219,7484.107786,296
0,8,0,94,5008.779808,5887.800412,230
0,17,0,64,670.980719,9079.943553,361
0,6,0,42,3205.272319,7886.414037,306
0,7,0,37,4879.977199,3982.194577,149
0,5,0,51,2118.296203,3557.773910,144
0,6,0,61,4301.983312,6433.567226,248
0,7,0,53,4312.083369,1969.659951,68
0,8,0,72,5066.090369,6835.479271,270
0,8,0,74,5013.491356,7220.972134,290
60,17,2,64,670.980719,9079.943553,361
60,2,2,67,182.916560,8017.336519,320
60,6,2,42,3205.272319,7886.414037,306
60,22,2,78,8669.829450,4505.662845,197
60,7,2,37,4879.977199,3982.194577,149
60,8,2,94,5008.779808,5887.800412,230
60,4,2,44,1769.004785,6757.952509,263
60,7,2,53,4312.083369,1969.659951,68
60,8,2,72,5066.090369,6835.479271,270
60,3,2,28,1706.306858,4533.673063,183
60,10,2,85,8309.785219,7484.107786,296
60,8,2,74,5013.491356,7220.972134,290
60,6,2,61,4301.983312,6433.567226,248
60,5,2,51,2118.296203,3557.773910,144
120,5,2,51,2118.296203,3557.773910,144
120,2,2,67,182.916560,8017.336519,320
120,4,2,44,1769.004785,6757.952509,263
120,22,2,78,8669.829450,4505.662845,197
120,10,2,85,8309.785219,7484.107786,296
120,6,2,61,4301.983312,6433.567226,248
120,6,2,42,3205.272319,7886.414037,306
120,8,2,74,5013.491356,7220.972134,290
120,17,2,64,670.980719,9079.943553,361
120,8,2,94,5008.779808,5887.800412,230
120,8,2,72,5066.090369,6835.479271,270
120,7,2,37,4879.977199,3982.194577,149
120,7,2,53,4312.083369,1969.659951,68
120,3,2,28,1706.306858,4533.673063,183
180,2,2,67,182.916560,8017.336519,320
180,7,2,37,4879.977199,3982.194577,149
180,4,2,44,1769.004785,6757.952509,263
180,8,2,72,5066.090369,6835.479271,270
180,10,2,85,8309.785219,7484.107786,296
180,6,2,42,3205.272319,7886.414037,306
180,8,2,94,5008.779808,5887.800412,230
180,8,2,74,5013.491356,7220.972134,290
180,17,2,64,670.980719,9079.943553,361
180,7,2,53,4312.083369,1969.659951,68
180,5,2,51,2118.296203,3557.773910,144
180,22,2,78,8669.829450,4505.662845,197
180,6,2,61,4301.983312,6433.567226,248
180,3,2,28,1706.306858,4533.673063,183
240,7,2,53,4312.083369,1969.659951,68
240,2,2,67,182.916560,8017.336519,320
240,4,2,44,1769.004785,6757.952509,263
240,8,2,74,5013.491356,7220.972134,290
240,6,2,61,4301.983312,6433.567226,248
240,8,2,72,5066.090369,6835.479271,270
240,6,2,42,3205.272319,7886.414037,306
240,10,2,85,8309.785219,7484.107786,296
240,17,2,64,670.980719,9079.943553,361
240,3,2,28,1706.306858,4533.673063,183
240,5,2,51,2118.296203,3557.773910,144
240,7,2,37,4879.977199,3982.194577,149
240,22,2,78,8669.829450,4505.662845,197
240,8,2,94,5008.779808,5887.800412,230
300,8,2,94,5008.779808,5887.800412,230
300,2,2,67,182.916560,8017.336519,320
300,7,2,37,4879.977199,3982.194577,149
300,4,2,44,1769.004785,6757.952509,263
300,22,2,78,8669.829450,4505.662845,197
300,7,2,53,4312.083369,1969.659951,68
300,6,2,61,4301.983312,6433.567226,248
300,6,2,42,3205.272319,7886.414037,306
300,8,2,72,5066.090369,6835.479271,270
300,17,2,64,670.980719,9079.943553,361
