t,Antenna ID,x,y,MNO ID,Tile ID
0,23,5000.000000,5000.000000,1,189
0,22,10000.000000,5000.000000,0,199
0,21,9000.000000,10000.000000,0,397
0,20,7000.000000,10000.000000,0,393
0,19,5000.000000,10000.000000,0,389
0,18,3000.000000,10000.000000,0,385
0,17,1000.000000,10000.000000,0,381
0,16,9000.000000,0.000000,0,17
0,15,7000.000000,0.000000,0,13
0,14,5000.000000,0.000000,0,9
0,13,3000.000000,0.000000,0,5
0,12,1000.000000,0.000000,0,1
0,11,9000.000000,2500.000000,0,97
0,10,8000.000000,7500.000000,0,295
0,9,7000.000000,2500.000000,0,93
0,8,6000.000000,7500.000000,0,291
0,7,5000.000000,2500.000000,0,89
0,6,4000.000000,7500.000000,0,287
0,5,3000.000000,2500.000000,0,85
0,4,2000.000000,7500.000000,0,283
0,3,1000.000000,2500.000000,0,81
0,2,0.000000,7500.000000,0,280
