t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
0,1,0,80,3G,2,1296.215021,8692.451873,1365
0,1,0,241,3G,1,1071.895704,9246.514847,1444
0,1,0,242,3G,1,1071.895704,9246.514847,1444
0,1,0,254,3G,2,1161.254804,8908.963017,1404
1,1,2,254,3G,2,1161.254804,8908.963017,1404
1,1,2,242,3G,1,1071.895704,9246.514847,1444
1,1,2,241,3G,1,1071.895704,9246.514847,1444
1,1,2,80,3G,2,1296.215021,8692.451873,1365
2,1,2,254,3G,2,1161.254804,8908.963017,1404
2,1,2,242,3G,1,1071.895704,9246.514847,1444
2,1,2,241,3G,1,1071.895704,9246.514847,1444
2,1,2,80,3G,2,1296.215021,8692.451873,1365
3,1,2,254,3G,2,1161.254804,8908.963017,1404
3,1,2,242,3G,1,1071.895704,9246.514847,1444
3,1,2,241,3G,1,1071.895704,9246.514847,1444
3,1,2,80,3G,2,1296.215021,8692.451873,1365
4,1,2,254,3G,2,1161.254804,8908.963017,1404
4,1,2,242,3G,1,1071.895704,9246.514847,1444
4,1,2,241,3G,1,1071.895704,9246.514847,1444
4,1,2,80,3G,2,1296.215021,8692.451873,1365
5,1,2,254,3G,2,1161.254804,8908.963017,1404
5,1,2,242,3G,1,1071.895704,9246.514847,1444
5,1,2,241,3G,1,1071.895704,9246.514847,1444
5,1,2,80,3G,2,1296.215021,8692.451873,1365
6,1,2,254,3G,2,1161.254804,8908.963017,1404
6,1,2,242,3G,1,1071.895704,9246.514847,1444
6,1,2,241,3G,1,1071.895704,9246.514847,1444
6,1,2,80,3G,2,1296.215021,8692.451873,1365
7,1,2,254,3G,2,1161.254804,8908.963017,1404
7,1,2,242,3G,1,1071.895704,9246.514847,1444
7,1,2,241,3G,1,1071.895704,9246.514847,1444
7,1,2,80,3G,2,1296.215021,8692.451873,1365
8,1,2,254,3G,2,1161.254804,8908.963017,1404
8,1,2,242,3G,1,1071.895704,9246.514847,1444
8,1,2,241,3G,1,1071.895704,9246.514847,1444
8,1,2,80,3G,2,1296.215021,8692.451873,1365
9,1,2,254,3G,2,1161.254804,8908.963017,1404
9,1,2,242,3G,1,1071.895704,9246.514847,1444
9,1,2,241,3G,1,1071.895704,9246.514847,1444
9,1,2,80,3G,2,1296.215021,8692.451873,1365
10,1,2,254,3G,2,1161.254804,8908.963017,1404
10,1,2,242,3G,1,1071.895704,9246.514847,1444
10,1,2,241,3G,1,1071.895704,9246.514847,1444
10,1,2,80,3G,2,1296.215021,8692.451873,1365
11,1,2,254,3G,2,1161.254804,8908.963017,1404
11,1,2,242,3G,1,1071.895704,9246.514847,1444
11,1,2,241,3G,1,1071.895704,9246.514847,1444
11,1,2,80,3G,2,1296.215021,8692.451873,1365
12,1,2,254,3G,2,1161.254804,8908.963017,1404
12,1,2,242,3G,1,1071.895704,9246.514847,1444
12,1,2,241,3G,1,1071.895704,9246.514847,1444
12,1,2,80,3G,2,1296.215021,8692.451873,1365
13,1,2,254,3G,2,1161.254804,8908.963017,1404
13,1,2,242,3G,1,1071.895704,9246.514847,1444
13,1,2,241,3G,1,1071.895704,9246.514847,1444
13,1,2,80,3G,2,1296.215021,8692.451873,1365
14,1,2,254,3G,2,1161.254804,8908.963017,1404
14,1,2,242,3G,1,1071.895704,9246.514847,1444
14,1,2,241,3G,1,1071.895704,9246.514847,1444
14,1,2,80,3G,2,1296.215021,8692.451873,1365
15,1,2,254,3G,2,1161.254804,8908.963017,1404
15,1,2,242,3G,1,1071.895704,9246.514847,1444
15,1,2,241,3G,1,1071.895704,9246.514847,1444
15,1,2,80,3G,2,1296.215021,8692.451873,1365
16,1,2,254,3G,2,1161.254804,8908.963017,1404
16,1,2,242,3G,1,1071.895704,9246.514847,1444
16,1,2,241,3G,1,1071.895704,9246.514847,1444
16,1,2,80,3G,2,1296.215021,8692.451873,1365
17,1,2,254,3G,2,1161.254804,8908.963017,1404
17,1,2,242,3G,1,1071.895704,9246.514847,1444
17,1,2,241,3G,1,1071.895704,9246.514847,1444
17,1,2,80,3G,2,1296.215021,8692.451873,1365
18,1,2,254,3G,2,1161.254804,8908.963017,1404
18,1,2,242,3G,1,1071.895704,9246.514847,1444
18,1,2,241,3G,1,1071.895704,9246.514847,1444
18,1,2,80,3G,2,1296.215021,8692.451873,1365
19,1,2,254,3G,2,1161.254804,8908.963017,1404
19,1,2,242,3G,1,1071.895704,9246.514847,1444
19,1,2,241,3G,1,1071.895704,9246.514847,1444
19,1,2,80,3G,2,1296.215021,8692.451873,1365
20,1,2,254,3G,2,1161.254804,8908.963017,1404
20,1,2,242,3G,1,1071.895704,9246.514847,1444
20,1,2,241,3G,1,1071.895704,9246.514847,1444
20,1,2,80,3G,2,1296.215021,8692.451873,1365
21,1,2,254,3G,2,1161.254804,8908.963017,1404
21,1,2,242,3G,1,1071.895704,9246.514847,1444
21,1,2,241,3G,1,1071.895704,9246.514847,1444
21,1,2,80,3G,2,1296.215021,8692.451873,1365
22,1,2,254,3G,2,1161.254804,8908.963017,1404
22,1,2,242,3G,1,1071.895704,9246.514847,1444
22,1,2,241,3G,1,1071.895704,9246.514847,1444
22,1,2,80,3G,2,1296.215021,8692.451873,1365
23,1,2,254,3G,2,1161.254804,8908.963017,1404
23,1,2,242,3G,1,1071.895704,9246.514847,1444
23,1,2,241,3G,1,1071.895704,9246.514847,1444
23,1,2,80,3G,2,1296.215021,8692.451873,1365
24,1,2,254,3G,2,1161.254804,8908.963017,1404
24,1,2,242,3G,1,1071.895704,9246.514847,1444
24,1,2,241,3G,1,1071.895704,9246.514847,1444
24,1,2,80,3G,2,1296.215021,8692.451873,1365
25,1,2,254,3G,2,1161.254804,8908.963017,1404
25,1,2,242,3G,1,1071.895704,9246.514847,1444
25,1,2,241,3G,1,1071.895704,9246.514847,1444
25,1,2,80,3G,2,1296.215021,8692.451873,1365
26,1,2,254,3G,2,1161.254804,8908.963017,1404
26,1,2,242,3G,1,1071.895704,9246.514847,1444
26,1,2,241,3G,1,1071.895704,9246.514847,1444
26,1,2,80,3G,2,1296.215021,8692.451873,1365
27,1,2,254,3G,2,1161.254804,8908.963017,1404
27,1,2,242,3G,1,1071.895704,9246.514847,1444
27,1,2,241,3G,1,1071.895704,9246.514847,1444
27,1,2,80,3G,2,1296.215021,8692.451873,1365
28,1,2,254,3G,2,1161.254804,8908.963017,1404
28,1,2,242,3G,1,1071.895704,9246.514847,1444
28,1,2,241,3G,1,1071.895704,9246.514847,1444
28,1,2,80,3G,2,1296.215021,8692.451873,1365
29,1,2,254,3G,2,1161.254804,8908.963017,1404
29,1,2,242,3G,1,1071.895704,9246.514847,1444
29,1,2,241,3G,1,1071.895704,9246.514847,1444
29,1,2,80,3G,2,1296.215021,8692.451873,1365
30,1,2,254,3G,2,1161.254804,8908.963017,1404
30,1,2,242,3G,1,1071.895704,9246.514847,1444
30,1,2,241,3G,1,1071.895704,9246.514847,1444
30,1,2,80,3G,2,1296.215021,8692.451873,1365
31,1,2,254,3G,2,1161.254804,8908.963017,1404
31,1,2,242,3G,1,1071.895704,9246.514847,1444
31,1,2,241,3G,1,1071.895704,9246.514847,1444
31,1,2,80,3G,2,1296.215021,8692.451873,1365
32,1,2,254,3G,2,1161.254804,8908.963017,1404
32,1,2,242,3G,1,1071.895704,9246.514847,1444
32,1,2,241,3G,1,1071.895704,9246.514847,1444
32,1,2,80,3G,2,1296.215021,8692.451873,1365
33,1,2,254,3G,2,1161.254804,8908.963017,1404
33,1,2,242,3G,1,1071.895704,9246.514847,1444
33,1,2,241,3G,1,1071.895704,9246.514847,1444
33,1,2,80,3G,2,1296.215021,8692.451873,1365
34,1,2,254,3G,2,1161.254804,8908.963017,1404
34,1,2,242,3G,1,1071.895704,9246.514847,1444
34,1,2,241,3G,1,1071.895704,9246.514847,1444
34,1,2,80,3G,2,1296.215021,8692.451873,1365
35,1,2,254,3G,2,1161.254804,8908.963017,1404
35,1,2,242,3G,1,1071.895704,9246.514847,1444
35,1,2,241,3G,1,1071.895704,9246.514847,1444
35,1,2,80,3G,2,1296.215021,8692.451873,1365
36,1,2,254,3G,2,1161.254804,8908.963017,1404
36,1,2,242,3G,1,1071.895704,9246.514847,1444
36,1,2,241,3G,1,1071.895704,9246.514847,1444
36,1,2,80,3G,2,1296.215021,8692.451873,1365
37,1,2,254,3G,2,1161.254804,8908.963017,1404
37,1,2,242,3G,1,1071.895704,9246.514847,1444
37,1,2,241,3G,1,1071.895704,9246.514847,1444
37,1,2,80,3G,2,1296.215021,8692.451873,1365
38,1,2,254,3G,2,1161.254804,8908.963017,1404
38,1,2,242,3G,1,1071.895704,9246.514847,1444
38,1,2,241,3G,1,1071.895704,9246.514847,1444
38,1,2,80,3G,2,1296.215021,8692.451873,1365
39,1,2,254,3G,2,1161.254804,8908.963017,1404
39,1,2,242,3G,1,1071.895704,9246.514847,1444
39,1,2,241,3G,1,1071.895704,9246.514847,1444
39,1,2,80,3G,2,1296.215021,8692.451873,1365
40,1,2,254,3G,2,1161.254804,8908.963017,1404
40,1,2,242,3G,1,1071.895704,9246.514847,1444
40,1,2,241,3G,1,1071.895704,9246.514847,1444
40,1,2,80,3G,2,1296.215021,8692.451873,1365
41,1,2,254,3G,2,1161.254804,8908.963017,1404
41,1,2,242,3G,1,1071.895704,9246.514847,1444
41,1,2,241,3G,1,1071.895704,9246.514847,1444
41,1,2,80,3G,2,1296.215021,8692.451873,1365
42,1,2,254,3G,2,1161.254804,8908.963017,1404
42,1,2,242,3G,1,1071.895704,9246.514847,1444
42,1,2,241,3G,1,1071.895704,9246.514847,1444
42,1,2,80,3G,2,1296.215021,8692.451873,1365
43,1,2,254,3G,2,1161.254804,8908.963017,1404
43,1,2,242,3G,1,1071.895704,9246.514847,1444
43,1,2,241,3G,1,1071.895704,9246.514847,1444
43,1,2,80,3G,2,1296.215021,8692.451873,1365
44,1,2,254,3G,2,1161.254804,8908.963017,1404
44,1,2,242,3G,1,1071.895704,9246.514847,1444
44,1,2,241,3G,1,1071.895704,9246.514847,1444
44,1,2,80,3G,2,1296.215021,8692.451873,1365
45,1,2,254,3G,2,1161.254804,8908.963017,1404
45,1,2,242,3G,1,1071.895704,9246.514847,1444
45,1,2,241,3G,1,1071.895704,9246.514847,1444
45,1,2,80,3G,2,1296.215021,8692.451873,1365
46,1,2,254,3G,2,1161.254804,8908.963017,1404
46,1,2,242,3G,1,1071.895704,9246.514847,1444
46,1,2,241,3G,1,1071.895704,9246.514847,1444
46,1,2,80,3G,2,1296.215021,8692.451873,1365
47,1,2,254,3G,2,1161.254804,8908.963017,1404
47,1,2,242,3G,1,1071.895704,9246.514847,1444
47,1,2,241,3G,1,1071.895704,9246.514847,1444
47,1,2,80,3G,2,1296.215021,8692.451873,1365
48,1,2,254,3G,2,1161.254804,8908.963017,1404
48,1,2,242,3G,1,1071.895704,9246.514847,1444
48,1,2,241,3G,1,1071.895704,9246.514847,1444
48,1,2,80,3G,2,1296.215021,8692.451873,1365
49,1,2,254,3G,2,1161.254804,8908.963017,1404
49,1,2,242,3G,1,1071.895704,9246.514847,1444
49,1,2,241,3G,1,1071.895704,9246.514847,1444
49,1,2,80,3G,2,1296.215021,8692.451873,1365
50,1,2,254,3G,2,1161.254804,8908.963017,1404
50,1,2,242,3G,1,1071.895704,9246.514847,1444
50,1,2,241,3G,1,1071.895704,9246.514847,1444
50,1,2,80,3G,2,1296.215021,8692.451873,1365
51,1,2,254,3G,2,1161.254804,8908.963017,1404
51,1,2,242,3G,1,1071.895704,9246.514847,1444
51,1,2,241,3G,1,1071.895704,9246.514847,1444
51,1,2,80,3G,2,1296.215021,8692.451873,1365
52,1,2,254,3G,2,1161.254804,8908.963017,1404
52,1,2,242,3G,1,1071.895704,9246.514847,1444
52,1,2,241,3G,1,1071.895704,9246.514847,1444
52,1,2,80,3G,2,1296.215021,8692.451873,1365
53,1,2,254,3G,2,1161.254804,8908.963017,1404
53,1,2,242,3G,1,1071.895704,9246.514847,1444
53,1,2,241,3G,1,1071.895704,9246.514847,1444
53,1,2,80,3G,2,1296.215021,8692.451873,1365
54,1,2,254,3G,2,1161.254804,8908.963017,1404
54,1,2,242,3G,1,1071.895704,9246.514847,1444
54,1,2,241,3G,1,1071.895704,9246.514847,1444
54,1,2,80,3G,2,1296.215021,8692.451873,1365
55,1,2,254,3G,2,1161.254804,8908.963017,1404
55,1,2,242,3G,1,1071.895704,9246.514847,1444
55,1,2,241,3G,1,1071.895704,9246.514847,1444
55,1,2,80,3G,2,1296.215021,8692.451873,1365
56,1,2,254,3G,2,1161.254804,8908.963017,1404
56,1,2,242,3G,1,1071.895704,9246.514847,1444
56,1,2,241,3G,1,1071.895704,9246.514847,1444
56,1,2,80,3G,2,1296.215021,8692.451873,1365
57,1,2,254,3G,2,1161.254804,8908.963017,1404
57,1,2,242,3G,1,1071.895704,9246.514847,1444
57,1,2,241,3G,1,1071.895704,9246.514847,1444
57,1,2,80,3G,2,1296.215021,8692.451873,1365
58,1,2,254,3G,2,1161.254804,8908.963017,1404
58,1,2,242,3G,1,1071.895704,9246.514847,1444
58,1,2,241,3G,1,1071.895704,9246.514847,1444
58,1,2,80,3G,2,1296.215021,8692.451873,1365
59,1,2,254,3G,2,1161.254804,8908.963017,1404
59,1,2,242,3G,1,1071.895704,9246.514847,1444
59,1,2,241,3G,1,1071.895704,9246.514847,1444
59,1,2,80,3G,2,1296.215021,8692.451873,1365
60,1,2,254,3G,2,1161.254804,8908.963017,1404
60,1,2,242,3G,1,1071.895704,9246.514847,1444
60,1,2,241,3G,1,1071.895704,9246.514847,1444
60,1,2,80,3G,2,1296.215021,8692.451873,1365
61,1,2,254,3G,2,1161.254804,8908.963017,1404
61,1,2,242,3G,1,1071.895704,9246.514847,1444
61,1,2,241,3G,1,1071.895704,9246.514847,1444
61,1,2,80,3G,2,1296.215021,8692.451873,1365
62,1,2,254,3G,2,1161.254804,8908.963017,1404
62,1,2,242,3G,1,1071.895704,9246.514847,1444
62,1,2,241,3G,1,1071.895704,9246.514847,1444
62,1,2,80,3G,2,1296.215021,8692.451873,1365
63,1,2,254,3G,2,1161.254804,8908.963017,1404
63,1,2,242,3G,1,1071.895704,9246.514847,1444
63,1,2,241,3G,1,1071.895704,9246.514847,1444
63,1,2,80,3G,2,1296.215021,8692.451873,1365
64,1,2,254,3G,2,1161.254804,8908.963017,1404
64,1,2,242,3G,1,1071.895704,9246.514847,1444
64,1,2,241,3G,1,1071.895704,9246.514847,1444
64,1,2,80,3G,2,1296.215021,8692.451873,1365
65,1,2,254,3G,2,1161.254804,8908.963017,1404
65,1,2,242,3G,1,1071.895704,9246.514847,1444
65,1,2,241,3G,1,1071.895704,9246.514847,1444
65,1,2,80,3G,2,1296.215021,8692.451873,1365
66,1,2,254,3G,2,1161.254804,8908.963017,1404
66,1,2,242,3G,1,1071.895704,9246.514847,1444
66,1,2,241,3G,1,1071.895704,9246.514847,1444
66,1,2,80,3G,2,1296.215021,8692.451873,1365
67,1,2,254,3G,2,1161.254804,8908.963017,1404
67,1,2,242,3G,1,1071.895704,9246.514847,1444
67,1,2,241,3G,1,1071.895704,9246.514847,1444
67,1,2,80,3G,2,1296.215021,8692.451873,1365
68,1,2,254,3G,2,1161.254804,8908.963017,1404
68,1,2,242,3G,1,1071.895704,9246.514847,1444
68,1,2,241,3G,1,1071.895704,9246.514847,1444
68,1,2,80,3G,2,1296.215021,8692.451873,1365
69,1,2,254,3G,2,1161.254804,8908.963017,1404
69,1,2,242,3G,1,1071.895704,9246.514847,1444
69,1,2,241,3G,1,1071.895704,9246.514847,1444
69,1,2,80,3G,2,1296.215021,8692.451873,1365
70,1,2,254,3G,2,1161.254804,8908.963017,1404
70,1,2,242,3G,1,1071.895704,9246.514847,1444
70,1,2,241,3G,1,1071.895704,9246.514847,1444
70,1,2,80,3G,2,1296.215021,8692.451873,1365
71,1,2,254,3G,2,1161.254804,8908.963017,1404
71,1,2,242,3G,1,1071.895704,9246.514847,1444
71,1,2,241,3G,1,1071.895704,9246.514847,1444
71,1,2,80,3G,2,1296.215021,8692.451873,1365
72,1,2,254,3G,2,1161.254804,8908.963017,1404
72,1,2,242,3G,1,1071.895704,9246.514847,1444
72,1,2,241,3G,1,1071.895704,9246.514847,1444
72,1,2,80,3G,2,1296.215021,8692.451873,1365
73,1,2,254,3G,2,1161.254804,8908.963017,1404
73,1,2,242,3G,1,1071.895704,9246.514847,1444
73,1,2,241,3G,1,1071.895704,9246.514847,1444
73,1,2,80,3G,2,1296.215021,8692.451873,1365
74,1,2,254,3G,2,1161.254804,8908.963017,1404
74,1,2,242,3G,1,1071.895704,9246.514847,1444
74,1,2,241,3G,1,1071.895704,9246.514847,1444
74,1,2,80,3G,2,1296.215021,8692.451873,1365
75,1,2,254,3G,2,1161.254804,8908.963017,1404
75,1,2,242,3G,1,1071.895704,9246.514847,1444
75,1,2,241,3G,1,1071.895704,9246.514847,1444
75,1,2,80,3G,2,1296.215021,8692.451873,1365
76,1,2,254,3G,2,1161.254804,8908.963017,1404
76,1,2,242,3G,1,1071.895704,9246.514847,1444
76,1,2,241,3G,1,1071.895704,9246.514847,1444
76,1,2,80,3G,2,1296.215021,8692.451873,1365
77,1,2,254,3G,2,1161.254804,8908.963017,1404
77,1,2,242,3G,1,1071.895704,9246.514847,1444
77,1,2,241,3G,1,1071.895704,9246.514847,1444
