t,Antenna ID,x,y,MNO ID,mno_name,maxconnection,power,attentuationfactor,type,Smin,Qmin,Smid,SSteep,tilt,azim_dB_back,elev_dB_back,beam_h,beam_v,direction,z,Tile ID
0,70,8700.000000,6500.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,1034
0,69,4750.000000,5250.000000,0,MNO1,56,8,4,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,818
0,68,8250.000000,5250.000000,0,MNO1,56,10,3.95,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,832
0,67,9250.000000,5500.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,876
0,66,5100.000000,4000.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,620
0,65,7000.000000,4500.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,707
0,64,7750.000000,4750.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,750
0,63,4750.000000,2000.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,298
0,62,8030.000000,2650.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,432
0,61,8500.000000,2250.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,353
0,60,5750.000000,4500.000000,0,MNO1,56,8,4,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,702
0,59,8000.000000,6250.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,991
0,58,8000.000000,7000.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,1111
0,57,9880.000000,3371.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,559
0,56,9250.000000,2250.000000,0,MNO1,56,8,4,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,356
0,55,9500.000000,4250.000000,0,MNO1,56,10,3.95,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,677
0,54,8950.000000,3550.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,595
0,53,7800.000000,3200.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,511
0,52,7500.000000,2500.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,389
0,51,9250.000000,3000.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,476
0,50,9250.000000,1000.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,156
0,49,4750.000000,750.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,98
0,48,4430.000000,2575.000000,0,MNO1,56,8.7,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,417
0,47,8750.000000,4750.000000,0,MNO1,56,9,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,754
0,46,6250.000000,2500.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,384
0,45,5475.000000,3500.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,541
0,44,6750.000000,3250.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,506
0,43,9650.000000,5000.000000,0,MNO1,56,10,3.85,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,798
0,42,8515.000000,5700.000000,0,MNO1,56,8,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,914
0,41,9500.000000,7500.000000,0,MNO1,56,7,3.9,omnidirectional,-85,0.3,-80,0.9,,,,,,,0,1197
0,40,5100.000000,2950.000000,0,MNO1,56,9,3.9,omnidirectional,-85,0.3,-79,0.9,,,,,,,0,460
0,39,5750.000000,1250.000000,0,MNO1,56,9,3.9,omnidirectional,-85,0.3,-79,0.9,,,,,,,0,182
0,38,4490.000000,3225.000000,0,MNO1,56,9.5,3.9,omnidirectional,-85,0.3,-79,0.9,,,,,,,0,497
0,37,1750.000000,1750.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-78,0.85,,,,,,,0,246
0,36,7700.000000,7700.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-78,0.85,,,,,,,0,1230
0,35,9950.000000,9750.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-78,0.85,,,,,,,0,1559
0,34,9250.000000,8300.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-78,0.85,,,,,,,0,1356
0,33,1000.000000,0.000000,0,MNO1,56,10,3.85,omnidirectional,-85,0.3,-78,0.85,,,,,,,0,3
0,32,6600.000000,8300.000000,0,MNO1,56,10,3.95,omnidirectional,-85,0.3,-78,0.85,,,,,,,0,1346
0,31,6750.000000,6500.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-78,0.85,,,,,,,0,1026
0,30,6000.000000,5250.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-78,0.85,,,,,,,0,823
0,29,5000.000000,6000.000000,0,MNO1,56,9,4,omnidirectional,-85,0.3,-78,0.85,,,,,,,0,939
0,28,3750.000000,6500.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-78,0.85,,,,,,,0,1014
0,27,3250.000000,2400.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-78,0.85,,,,,,,0,372
0,26,3250.000000,3750.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-78,0.85,,,,,,,0,572
0,25,1750.000000,3500.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-78,0.85,,,,,,,0,526
0,24,2500.000000,5500.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-85,1,,,,,,,0,849
0,23,750.000000,5000.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-85,1,,,,,,,0,762
0,22,2250.000000,7750.000000,0,MNO1,56,10,3.9,omnidirectional,-85,0.3,-85,1,,,,,,,0,1208
0,21,650.000000,6250.000000,0,MNO1,56,10,4,omnidirectional,-85,0.3,-85,1,,,,,,,0,962
